Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status,Life_expectancy
Afghanistan,Asia,2007.5,71.08125,98.6125,265.80496875,0.016125,64.5625,24.375,22.4625,55.375,55.125,0.0225,408.5625,27.450625,16.58125,15.581249999999999,2.9,1.0,59.65625
Albania,Rest of Europe,2007.5,15.25625,17.14375,83.13296875,4.696875,98.0,95.9375,25.85625,98.125,98.0625,0.025625,3071.125,2.969375,1.61875,1.7,9.24375,1.0,75.95
Algeria,Africa,2007.5,26.75625,31.19375,113.43928125,0.400625,88.3125,93.25,24.86875,91.75,91.875,0.021875,3745.125,34.820625,6.09375,5.975,6.99375,1.0,73.7875
Angola,Africa,2007.5,88.76875,144.1625,297.8440625,4.935625,68.8125,64.0,22.51875,35.75,55.5625,1.30375,2647.8125,21.62375,6.19375,6.66875,4.60625,1.0,52.825
Antigua and Barbuda,Central America and Caribbean,2007.5,9.475,11.51875,142.4788125,7.755,98.25,75.4375,25.85,96.9375,98.3125,0.125,14678.75,0.08499999999999999,3.425,3.375,9.018749999999999,1.0,75.35
Argentina,South America,2007.5,13.85,15.50625,127.91265625,7.959375,85.3125,84.6875,26.85,92.25,92.375,0.145625,12169.125,39.913125,1.075,0.95,9.36875,1.0,74.8625
Armenia,Rest of Europe,2007.5,19.03125,21.39375,137.93993749999998,3.734375,87.5625,94.6875,25.94375,94.1875,92.4375,0.080625,2657.375,2.95125,2.0375,2.1125000000000003,11.05625,1.0,72.9875
Australia,Oceania,2007.5,4.3125,5.15625,65.95859375,10.145625,93.5,87.25,26.75,91.8125,91.9375,0.046875,51750.9375,21.289375,0.66875,0.625,12.1875,0.0,81.1125
Austria,European Union,2007.5,3.8125,4.6,78.3105,12.226875,81.0625,60.9375,25.29375,86.0,86.75,0.08,42376.0,8.295625,1.73125,1.9375,10.83125,0.0,79.975
Azerbaijan,Asia,2007.5,39.45625,46.3375,144.66434375,0.7475,68.1875,79.5625,26.19375,84.8125,82.3125,0.124375,3813.6875,8.76,2.9,2.94375,10.612499999999999,1.0,69.725
"Bahamas, The",Central America and Caribbean,2007.5,13.55,15.8375,173.48421875,9.871875,93.375,83.0,27.325,95.0,95.75,0.586875,34031.4375,0.3375,2.55,2.51875,10.95625,1.0,72.20625
Bahrain,Middle East,2007.5,8.30625,9.6875,75.38884375,1.841875,98.125,98.1875,25.14375,98.0,98.0625,0.05,22044.25,1.046875,6.10625,5.95,8.56875,1.0,75.6625
Bangladesh,Asia,2007.5,45.0,58.41875,148.10903125,0.003275,85.5,66.5625,20.86875,92.625,92.75,0.01,897.3125,142.890625,13.775,14.33125,4.725,1.0,68.725
Barbados,Central America and Caribbean,2007.5,13.9,15.1125,112.06821875,8.275625,88.6875,84.5625,27.09375,90.4375,89.9375,0.458125,16752.125,0.278125,3.95625,3.91875,9.5625,1.0,78.1
Belarus,Rest of Europe,2007.5,5.79375,7.51875,223.07234375000002,12.569374999999999,92.875,97.75,26.16875,94.9375,95.0,0.1675,4630.5,9.61875,2.2125,2.3375,10.66875,1.0,70.2875
Belgium,European Union,2007.5,3.9,4.75625,85.4396875,10.986875,84.625,80.9375,25.81875,97.75,97.3125,0.08,38782.0,10.720625,0.8625,0.8562500000000001,10.90625,0.0,79.55
Belize,Central America and Caribbean,2007.5,16.8875,19.74375,185.1233125,6.128125,94.75,90.9375,28.15,95.5,95.1875,0.816875,4700.9375,0.30375,3.55625,3.4875,10.35625,1.0,71.175
Benin,Africa,2007.5,73.3875,115.86875,263.93262500000003,1.375,75.9375,83.0,22.825,76.125,76.375,0.66375,984.4375,8.629375,8.25,8.1375,2.86875,1.0,58.20625
Bhutan,Asia,2007.5,40.34375,51.5375,243.18621875,0.481875,94.125,82.0625,23.025,94.4375,93.875,0.18125,1882.625,0.665,17.21875,17.925,2.4437499999999996,1.0,66.45625
Bolivia,South America,2007.5,38.78125,50.24375,210.68159375,2.9725,87.375,83.0,25.5625,86.75,87.375,0.18812500000000001,2414.375,9.641875,1.3,1.1875,7.66875,1.0,66.5875
Bosnia and Herzegovina,Rest of Europe,2007.5,6.9937499999999995,8.01875,107.0921875,4.568125,90.375,89.1875,25.20625,88.4375,88.0625,0.08,3797.5,3.6875,2.78125,2.75625,7.6812499999999995,1.0,75.63125
Botswana,Africa,2007.5,40.98125,61.95,427.12350000000004,5.985625,92.375,83.0,24.0125,96.1875,95.8125,10.723125,5504.8125,1.88875,7.4375,7.8125,8.5125,1.0,57.0375
Brazil,South America,2007.5,20.2625,22.8125,162.5915625,6.951875,96.1875,70.0,25.5875,98.3125,97.9375,0.246875,7991.5,190.53,3.05,3.0125,6.6375,1.0,72.69375
Brunei Darussalam,Asia,2007.5,8.0125,9.8625,94.99071875,0.4845,97.875,94.75,26.125,96.875,96.8125,0.1,33930.6875,0.375,6.2,5.675,8.6375,1.0,74.3
Bulgaria,European Union,2007.5,10.225,12.2875,148.02265625,10.51,94.5,90.4375,25.80625,94.25,94.0,0.025,5701.875,7.561875,2.13125,2.15625,10.46875,0.0,73.15
Burkina Faso,Africa,2007.5,74.7625,138.26875,293.6763125,5.6537500000000005,88.0,31.5,21.56875,84.1875,82.375,0.470625,548.75,14.6175,7.41875,6.98125,1.3375,1.0,55.2
Burundi,Africa,2007.5,69.39375,108.9125,330.92296875,5.2318750000000005,91.75,57.375,21.14375,86.625,90.25,0.746875,309.125,8.09,8.01875,8.0125,2.4125,1.0,55.08125
Cabo Verde,Africa,2007.5,23.00625,27.45625,136.74465625,4.35875,86.125,94.3125,23.975,94.5,94.1875,0.308125,2671.125,0.478125,8.0125,7.975,4.71875,1.0,70.6375
Cambodia,Asia,2007.5,47.55,58.7125,210.85571875,1.64625,85.75,49.75,21.3625,80.375,79.9375,0.30062500000000003,805.375,13.811875,10.14375,10.88125,3.9,1.0,64.4
Cameroon,Africa,2007.5,73.04375,117.8625,375.9925,5.159375,82.625,64.0,23.74375,76.5,78.4375,2.43375,1236.3125,19.14875,6.55,6.60625,5.3375,1.0,54.03125
Canada,North America,2007.5,5.06875,5.875,72.63496875,8.05625,33.9375,84.6875,26.6875,91.25,91.0625,0.1,39683.625,33.15625,0.50625,0.4375,12.26875,0.0,80.6125
Central African Republic,Africa,2007.5,101.34375,150.68125,493.01515625,1.68,43.9375,64.0,22.175,44.0,44.6875,2.5025,466.6875,4.16375,7.10625,7.0875,3.4625,1.0,46.48125
Chad,Africa,2007.5,88.03125,156.94375,391.25025,0.5331250000000001,30.6875,64.0,21.45,38.5,31.3125,0.826875,627.3125,11.084999999999999,7.14375,7.04375,1.75,1.0,49.94375
Chile,South America,2007.5,7.675,9.025,98.54653125,7.145,93.625,89.625,27.23125,93.75,93.875,0.164375,11067.0,16.628125,0.8875000000000001,0.9125,9.625,1.0,78.14375
